kol_name,kol_id,kol_avatar_url,platform_uid,platform_unique_id,update_at,Joined TikTok on,Area,Likes,Posts,Fans,followers_rate,Following,Total Views,Engagement Rate
Cash,478,http://p16.muscdn.com/img/musically-maliva-obj/1643103059810309~c5_1080x1080.jpeg,6.55887914706548E+018,cashbaker,2020-05-06,2018-05-24,United States,584.529M,1817,15.276M,0.00%,56,3.658B,15.98%
The Hype House,3320338,http://p16.muscdn.com/img/musically-maliva-obj/1659286902978565~c5_1080x1080.jpeg,6.75105132993161E+018,thehypehouse,2020-05-06,2019-12-20,United States,473.471K,7,15.062M,2.55%,16,3.051M,15.52%
Aashika Bhatia,574,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1657795812175873.webp,6.75812495942328E+016,aashikabhatia,2020-05-06,2016-03-25,India,252.602M,2084,14.950M,0.00%,90,2.760B,9.15%
avani,3741,http://p16.muscdn.com/img/musically-maliva-obj/1658775880659973~c5_1080x1080.jpeg,7.96090450068726E+016,avani,2020-05-05,2018-05-17,United States,267.392M,2279,14.920M,0.00%,4.200K,1.394B,19.18%
DAVID DOBRIK,715,http://p16.muscdn.com/img/musically-maliva-obj/1657369265111046~c5_1080x1080.jpeg,7119601,daviddobrik,2020-05-06,2015-08-25,United States,94.709M,113,14.750M,0.00%,49,727.865M,13.01%
KingBach,3225,http://mphw-suse1.muscdn.com/res/usericon/350/icon-7012350-931.jpg,7012350,kingbach,2020-05-06,2015-08-25,United States,48.807M,131,14.593M,0.00%,0,240.611M,20.28%
piyanka_mongia,5557,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1662226743976978.webp,6.59484389373556E+018,piyanka_mongia,2020-05-06,2018-09-06,India,58.357M,921,14.497M,0.00%,3,556.423M,10.49%
codys girlfriend,6061,http://p16.muscdn.com/img/musically-maliva-obj/1662273788738566~c5_1080x1080.jpeg,6177718,zoelaverne,2020-05-06,2018-02-17,United States,733.322M,2351,14.282M,0.00%,9.994K,3.208B,22.86%
suraj pal singh,1917,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1660888084396034.webp,6.53250886605839E+018,surajpalsingh964,2020-05-06,2018-04-01,India,129.577M,1179,14.192M,0.00%,217,1.304B,9.94%
Michael Le,11470,http://p16.muscdn.com/img/musically-maliva-obj/1655126521322502~c5_1080x1080.jpeg,3777553,justmaiko,2020-05-06,2016-01-14,United States,21.626M,421,14.006M,0.00%,88,116.337M,18.59%
❣️Sky & Tami❣️,628,http://p16.muscdn.com/img/musically-maliva-obj/1602735385587717~c5_1080x1080.jpeg,2.89479774740206E+017,skyandtami,2020-05-06,2018-01-01,Spain,531.573M,2001,13.868M,0.00%,693,3.411B,15.58%
Kira Kosarin,11381,http://p16.muscdn.com/img/musically-maliva-obj/1648054915890182~c5_1080x1080.jpeg,21210630,kirakosarin,2020-05-06,2015-12-31,United States,158.352M,339,13.835M,0.00%,63,520.150M,30.44%
Justin Bieber,3322225,http://p16.muscdn.com/img/musically-maliva-obj/1654635060822022~c5_1080x1080.jpeg,6.75670287170419E+018,justinbieber,2020-05-06,2020-01-03,United States,25.059M,14,13.498M,3.33%,5,273.224M,9.17%
Manjul Khattar ⚡️,577,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1661841045667841.webp,2.41662070209835E+017,manjullll,2020-05-06,2017-06-20,India,250.507M,1189,13.393M,0.00%,267,3.102B,8.08%
Kody Antle,1794702,http://p16.muscdn.com/img/musically-maliva-obj/1643684147729413~c5_1080x1080.jpeg,6.69172151222995E+018,kodyantle,2020-05-06,2019-09-01,United States,43.007M,55,13.281M,0.00%,18,407.881M,10.54%
Nagma Mirajkar ????,560,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1661417016753154.webp,29272695,nagmaa,2020-05-06,2016-01-27,India,240.685M,1733,13.139M,0.00%,232,2.504B,9.61%
Hasnain khan,600,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1661407304499201.webp,2.31810259189756E+017,hasnaink07,2020-05-06,2017-06-24,India,492.736M,1624,13.047M,0.00%,45,4.009B,12.29%
Cole LaBrant,18991,http://p16.muscdn.com/img/musically-maliva-obj/1638541571086341~c5_1080x1080.jpeg,7630205,thesupercole,2020-05-06,2015-12-23,United States,140.525M,539,12.717M,7.94%,22,301.450M,46.62%
Abraz I Khan,12428,http://p16-tiktokcdn-com.akamaized.net/aweme/1080x1080/tiktok-obj/1649305059605506.webp,6.56692719338506E+018,abrazkhan91,2020-05-06,2018-09-01,India,124.126M,945,12.602M,0.00%,36,1.611B,7.70%
Twin Melody ,1044,http://mphw-suse1.muscdn.com/res/user_v_icon/871/icon_116740719360233472-XAPIzYUpMO.jpg,1.16740719360233E+017,twinmelody,2020-05-06,2017-09-10,Spain,142.418M,288,12.571M,0.00%,72,1.118B,12.74%
Salice Rose,10323,http://p16.muscdn.com/img/musically-maliva-obj/1646449572322310~c5_1080x1080.jpeg,8107239,officialsalicerose,2020-05-06,2015-09-01,United States,164.205M,414,12.543M,0.00%,0,972.615M,16.88%
